,Use Case,LTE/5g Category,Technology Supported,Day,Time,GBR,Packet Loss Rate,Packet delay,slice Type
49,Smartphone,1,LTE/5G,tuesday,1,Non-GBR,0.01,100,eMBB
50,Smartphone,1,LTE/5G,tuesday,2,Non-GBR,0.01,100,eMBB
51,Smartphone,1,LTE/5G,tuesday,3,Non-GBR,0.01,100,eMBB
52,Smartphone,1,LTE/5G,tuesday,4,Non-GBR,0.01,100,eMBB
53,Smartphone,1,LTE/5G,tuesday,5,Non-GBR,0.01,100,eMBB
54,Smartphone,1,LTE/5G,tuesday,6,Non-GBR,0.01,100,eMBB
55,Smartphone,1,LTE/5G,tuesday,7,Non-GBR,0.01,100,eMBB
56,Smartphone,1,LTE/5G,tuesday,8,Non-GBR,0.01,100,eMBB
57,Smartphone,1,LTE/5G,tuesday,9,Non-GBR,0.01,100,eMBB
58,Smartphone,1,LTE/5G,tuesday,10,Non-GBR,0.01,100,eMBB
59,Smartphone,1,LTE/5G,tuesday,11,Non-GBR,0.01,100,eMBB
60,Smartphone,1,LTE/5G,tuesday,12,Non-GBR,0.01,100,eMBB
61,Smartphone,1,LTE/5G,tuesday,13,Non-GBR,0.01,100,eMBB
62,Smartphone,1,LTE/5G,tuesday,14,Non-GBR,0.01,100,eMBB
63,Smartphone,1,LTE/5G,tuesday,15,Non-GBR,0.01,100,eMBB
64,Smartphone,1,LTE/5G,tuesday,16,Non-GBR,0.01,100,eMBB
65,Smartphone,1,LTE/5G,tuesday,17,Non-GBR,0.01,100,eMBB
66,Smartphone,1,LTE/5G,tuesday,18,Non-GBR,0.01,100,eMBB
67,Smartphone,1,LTE/5G,tuesday,19,Non-GBR,0.01,100,eMBB
68,Smartphone,1,LTE/5G,tuesday,20,Non-GBR,0.01,100,eMBB
69,Smartphone,1,LTE/5G,tuesday,21,Non-GBR,0.01,100,eMBB
70,Smartphone,1,LTE/5G,tuesday,22,Non-GBR,0.01,100,eMBB
71,Smartphone,1,LTE/5G,tuesday,23,Non-GBR,0.01,100,eMBB
72,Smartphone,1,LTE/5G,wednesday,0,Non-GBR,0.01,100,eMBB
73,Smartphone,1,LTE/5G,wednesday,1,Non-GBR,0.01,100,eMBB
74,Smartphone,1,LTE/5G,wednesday,2,Non-GBR,0.01,100,eMBB
75,Smartphone,1,LTE/5G,wednesday,3,Non-GBR,0.01,100,eMBB
76,Smartphone,1,LTE/5G,wednesday,4,Non-GBR,0.01,100,eMBB
77,Smartphone,1,LTE/5G,wednesday,5,Non-GBR,0.01,100,eMBB
78,Smartphone,1,LTE/5G,wednesday,6,Non-GBR,0.01,100,eMBB
79,Smartphone,1,LTE/5G,wednesday,7,Non-GBR,0.01,100,eMBB
80,Smartphone,1,LTE/5G,wednesday,8,Non-GBR,0.01,100,eMBB
81,Smartphone,1,LTE/5G,wednesday,9,Non-GBR,0.01,100,eMBB
82,Smartphone,1,LTE/5G,wednesday,10,Non-GBR,0.01,100,eMBB
83,Smartphone,1,LTE/5G,wednesday,11,Non-GBR,0.01,100,eMBB
84,Smartphone,1,LTE/5G,wednesday,12,Non-GBR,0.01,100,eMBB
85,Smartphone,1,LTE/5G,wednesday,13,Non-GBR,0.01,100,eMBB
86,Smartphone,1,LTE/5G,wednesday,14,Non-GBR,0.01,100,eMBB
87,Smartphone,1,LTE/5G,wednesday,15,Non-GBR,0.01,100,eMBB
88,Smartphone,1,LTE/5G,wednesday,16,Non-GBR,0.01,100,eMBB
89,Smartphone,1,LTE/5G,wednesday,17,Non-GBR,0.01,100,eMBB
90,Smartphone,1,LTE/5G,wednesday,18,Non-GBR,0.01,100,eMBB
91,Smartphone,1,LTE/5G,wednesday,19,Non-GBR,0.01,100,eMBB
92,Smartphone,1,LTE/5G,wednesday,20,Non-GBR,0.01,100,eMBB
93,Smartphone,1,LTE/5G,wednesday,21,Non-GBR,0.01,100,eMBB
94,Smartphone,1,LTE/5G,wednesday,22,Non-GBR,0.01,100,eMBB
95,Smartphone,1,LTE/5G,wednesday,23,Non-GBR,0.01,100,eMBB
96,Smartphone,1,LTE/5G,thrusday,0,Non-GBR,0.01,100,eMBB
97,Smartphone,1,LTE/5G,thrusday,1,Non-GBR,0.01,100,eMBB
98,Smartphone,1,LTE/5G,thrusday,2,Non-GBR,0.01,100,eMBB
99,Smartphone,1,LTE/5G,thrusday,3,Non-GBR,0.01,100,eMBB
100,Smartphone,1,LTE/5G,thrusday,4,Non-GBR,0.01,100,eMBB
101,Smartphone,1,LTE/5G,thrusday,5,Non-GBR,0.01,100,eMBB
102,Smartphone,1,LTE/5G,thrusday,6,Non-GBR,0.01,100,eMBB
103,Smartphone,1,LTE/5G,thrusday,7,Non-GBR,0.01,100,eMBB
104,Smartphone,1,LTE/5G,thrusday,8,Non-GBR,0.01,100,eMBB
105,Smartphone,1,LTE/5G,thrusday,9,Non-GBR,0.01,100,eMBB
106,Smartphone,1,LTE/5G,thrusday,10,Non-GBR,0.01,100,eMBB
107,Smartphone,1,LTE/5G,thrusday,11,Non-GBR,0.01,100,eMBB
108,Smartphone,1,LTE/5G,thrusday,12,Non-GBR,0.01,100,eMBB
109,Smartphone,1,LTE/5G,thrusday,13,Non-GBR,0.01,100,eMBB
110,Smartphone,1,LTE/5G,thrusday,14,Non-GBR,0.01,100,eMBB
111,Smartphone,1,LTE/5G,thrusday,15,Non-GBR,0.01,100,eMBB
112,Smartphone,1,LTE/5G,thrusday,16,Non-GBR,0.01,100,eMBB
113,Smartphone,1,LTE/5G,thrusday,17,Non-GBR,0.01,100,eMBB
114,Smartphone,1,LTE/5G,thrusday,18,Non-GBR,0.01,100,eMBB
115,Smartphone,1,LTE/5G,thrusday,19,Non-GBR,0.01,100,eMBB
116,Smartphone,1,LTE/5G,thrusday,20,Non-GBR,0.01,100,eMBB
117,Smartphone,1,LTE/5G,thrusday,21,Non-GBR,0.01,100,eMBB
118,Smartphone,1,LTE/5G,thrusday,22,Non-GBR,0.01,100,eMBB
119,Smartphone,1,LTE/5G,thrusday,23,Non-GBR,0.01,100,eMBB
120,Smartphone,1,LTE/5G,friday,0,Non-GBR,0.01,100,eMBB
121,Smartphone,1,LTE/5G,friday,1,Non-GBR,0.01,100,eMBB
122,Smartphone,1,LTE/5G,friday,2,Non-GBR,0.01,100,eMBB
123,Smartphone,1,LTE/5G,friday,3,Non-GBR,0.01,100,eMBB
124,Smartphone,1,LTE/5G,friday,4,Non-GBR,0.01,100,eMBB
125,Smartphone,1,LTE/5G,friday,5,Non-GBR,0.01,100,eMBB
126,Smartphone,1,LTE/5G,friday,6,Non-GBR,0.01,100,eMBB
127,Smartphone,1,LTE/5G,friday,7,Non-GBR,0.01,100,eMBB
128,Smartphone,1,LTE/5G,friday,8,Non-GBR,0.01,100,eMBB
129,Smartphone,1,LTE/5G,friday,9,Non-GBR,0.01,100,eMBB
130,Smartphone,1,LTE/5G,friday,10,Non-GBR,0.01,100,eMBB
131,Smartphone,1,LTE/5G,friday,11,Non-GBR,0.01,100,eMBB
132,Smartphone,1,LTE/5G,friday,12,Non-GBR,0.01,100,eMBB
133,Smartphone,1,LTE/5G,friday,13,Non-GBR,0.01,100,eMBB
134,Smartphone,1,LTE/5G,friday,14,Non-GBR,0.01,100,eMBB
135,Smartphone,1,LTE/5G,friday,15,Non-GBR,0.01,100,eMBB
136,Smartphone,1,LTE/5G,friday,16,Non-GBR,0.01,100,eMBB
137,Smartphone,1,LTE/5G,friday,17,Non-GBR,0.01,100,eMBB
138,Smartphone,1,LTE/5G,friday,18,Non-GBR,0.01,100,eMBB
139,Smartphone,1,LTE/5G,friday,19,Non-GBR,0.01,100,eMBB
140,Smartphone,1,LTE/5G,friday,20,Non-GBR,0.01,100,eMBB
141,Smartphone,1,LTE/5G,friday,21,Non-GBR,0.01,100,eMBB
142,Smartphone,1,LTE/5G,friday,22,Non-GBR,0.01,100,eMBB
143,Smartphone,1,LTE/5G,friday,23,Non-GBR,0.01,100,eMBB
144,Smartphone,1,LTE/5G,saturday,0,Non-GBR,0.01,100,eMBB
145,Smartphone,1,LTE/5G,saturday,1,Non-GBR,0.01,100,eMBB
146,Smartphone,1,LTE/5G,saturday,2,Non-GBR,0.01,100,eMBB
147,Smartphone,1,LTE/5G,saturday,3,Non-GBR,0.01,100,eMBB
148,Smartphone,1,LTE/5G,saturday,4,Non-GBR,0.01,100,eMBB
149,Smartphone,1,LTE/5G,saturday,5,Non-GBR,0.01,100,eMBB
150,Smartphone,1,LTE/5G,saturday,6,Non-GBR,0.01,100,eMBB
151,Smartphone,1,LTE/5G,saturday,7,Non-GBR,0.01,100,eMBB
152,Smartphone,1,LTE/5G,saturday,8,Non-GBR,0.01,100,eMBB
153,Smartphone,1,LTE/5G,saturday,9,Non-GBR,0.01,100,eMBB
154,Smartphone,1,LTE/5G,saturday,10,Non-GBR,0.01,100,eMBB
155,Smartphone,1,LTE/5G,saturday,11,Non-GBR,0.01,100,eMBB
156,Smartphone,1,LTE/5G,saturday,12,Non-GBR,0.01,100,eMBB
157,Smartphone,1,LTE/5G,saturday,13,Non-GBR,0.01,100,eMBB
158,Smartphone,1,LTE/5G,saturday,14,Non-GBR,0.01,100,eMBB
159,Smartphone,1,LTE/5G,saturday,15,Non-GBR,0.01,100,eMBB
160,Smartphone,1,LTE/5G,saturday,16,Non-GBR,0.01,100,eMBB
161,Smartphone,1,LTE/5G,saturday,17,Non-GBR,0.01,100,eMBB
162,Smartphone,1,LTE/5G,saturday,18,Non-GBR,0.01,100,eMBB
163,Smartphone,1,LTE/5G,saturday,19,Non-GBR,0.01,100,eMBB
164,Smartphone,1,LTE/5G,saturday,20,Non-GBR,0.01,100,eMBB
165,Smartphone,1,LTE/5G,saturday,21,Non-GBR,0.01,100,eMBB
166,Smartphone,1,LTE/5G,saturday,22,Non-GBR,0.01,100,eMBB
167,Smartphone,1,LTE/5G,saturday,23,Non-GBR,0.01,100,eMBB
168,Smartphone,2,LTE/5G,sunday,0,Non-GBR,0.01,100,eMBB
169,Smartphone,2,LTE/5G,sunday,1,Non-GBR,0.01,100,eMBB
170,Smartphone,2,LTE/5G,sunday,2,Non-GBR,0.01,100,eMBB
171,Smartphone,2,LTE/5G,sunday,3,Non-GBR,0.01,100,eMBB
172,Smartphone,2,LTE/5G,sunday,4,Non-GBR,0.01,100,eMBB
173,Smartphone,2,LTE/5G,sunday,5,Non-GBR,0.01,100,eMBB
174,Smartphone,2,LTE/5G,sunday,6,Non-GBR,0.01,100,eMBB
175,Smartphone,2,LTE/5G,sunday,7,Non-GBR,0.01,100,eMBB
176,Smartphone,2,LTE/5G,sunday,8,Non-GBR,0.01,100,eMBB
177,Smartphone,2,LTE/5G,sunday,9,Non-GBR,0.01,100,eMBB
178,Smartphone,2,LTE/5G,sunday,10,Non-GBR,0.01,100,eMBB
179,Smartphone,2,LTE/5G,sunday,11,Non-GBR,0.01,100,eMBB
180,Smartphone,2,LTE/5G,sunday,12,Non-GBR,0.01,100,eMBB
181,Smartphone,2,LTE/5G,sunday,13,Non-GBR,0.01,100,eMBB
182,Smartphone,2,LTE/5G,sunday,14,Non-GBR,0.01,100,eMBB
183,Smartphone,2,LTE/5G,sunday,15,Non-GBR,0.01,100,eMBB
184,Smartphone,2,LTE/5G,sunday,16,Non-GBR,0.01,100,eMBB
185,Smartphone,2,LTE/5G,sunday,17,Non-GBR,0.01,100,eMBB
186,Smartphone,2,LTE/5G,sunday,18,Non-GBR,0.01,100,eMBB
187,Smartphone,2,LTE/5G,sunday,19,Non-GBR,0.01,100,eMBB
188,Smartphone,2,LTE/5G,sunday,20,Non-GBR,0.01,100,eMBB
189,Smartphone,2,LTE/5G,sunday,21,Non-GBR,0.01,100,eMBB
190,Smartphone,2,LTE/5G,sunday,22,Non-GBR,0.01,100,eMBB
191,Smartphone,2,LTE/5G,sunday,23,Non-GBR,0.01,100,eMBB
192,Smartphone,2,LTE/5G,monday,0,Non-GBR,0.01,100,eMBB
193,Smartphone,2,LTE/5G,monday,1,Non-GBR,0.01,100,eMBB
194,Smartphone,2,LTE/5G,monday,2,Non-GBR,0.01,100,eMBB
195,Smartphone,2,LTE/5G,monday,3,Non-GBR,0.01,100,eMBB
196,Smartphone,2,LTE/5G,monday,4,Non-GBR,0.01,100,eMBB
197,Smartphone,2,LTE/5G,monday,5,Non-GBR,0.01,100,eMBB
198,Smartphone,2,LTE/5G,monday,6,Non-GBR,0.01,100,eMBB
199,Smartphone,2,LTE/5G,monday,7,Non-GBR,0.01,100,eMBB
200,Smartphone,2,LTE/5G,monday,8,Non-GBR,0.01,100,eMBB
201,Smartphone,2,LTE/5G,monday,9,Non-GBR,0.01,100,eMBB
202,Smartphone,2,LTE/5G,monday,10,Non-GBR,0.01,100,eMBB
203,Smartphone,2,LTE/5G,monday,11,Non-GBR,0.01,100,eMBB
204,Smartphone,2,LTE/5G,monday,12,Non-GBR,0.01,100,eMBB
205,Smartphone,2,LTE/5G,monday,13,Non-GBR,0.01,100,eMBB
206,Smartphone,2,LTE/5G,monday,14,Non-GBR,0.01,100,eMBB
207,Smartphone,2,LTE/5G,monday,15,Non-GBR,0.01,100,eMBB
208,Smartphone,2,LTE/5G,monday,16,Non-GBR,0.01,100,eMBB
209,Smartphone,2,LTE/5G,monday,17,Non-GBR,0.01,100,eMBB
210,Smartphone,2,LTE/5G,monday,18,Non-GBR,0.01,100,eMBB
211,Smartphone,2,LTE/5G,monday,19,Non-GBR,0.01,100,eMBB
212,Smartphone,2,LTE/5G,monday,20,Non-GBR,0.01,100,eMBB
213,Smartphone,2,LTE/5G,monday,21,Non-GBR,0.01,100,eMBB
214,Smartphone,2,LTE/5G,monday,22,Non-GBR,0.01,100,eMBB
215,Smartphone,2,LTE/5G,monday,23,Non-GBR,0.01,100,eMBB
216,Smartphone,2,LTE/5G,tuesday,0,Non-GBR,0.01,100,eMBB
217,Smartphone,2,LTE/5G,tuesday,1,Non-GBR,0.01,100,eMBB
218,Smartphone,2,LTE/5G,tuesday,2,Non-GBR,0.01,100,eMBB
219,Smartphone,2,LTE/5G,tuesday,3,Non-GBR,0.01,100,eMBB
220,Smartphone,2,LTE/5G,tuesday,4,Non-GBR,0.01,100,eMBB
221,Smartphone,2,LTE/5G,tuesday,5,Non-GBR,0.01,100,eMBB
222,Smartphone,2,LTE/5G,tuesday,6,Non-GBR,0.01,100,eMBB
223,Smartphone,2,LTE/5G,tuesday,7,Non-GBR,0.01,100,eMBB
224,Smartphone,2,LTE/5G,tuesday,8,Non-GBR,0.01,100,eMBB
225,Smartphone,2,LTE/5G,tuesday,9,Non-GBR,0.01,100,eMBB
226,Smartphone,2,LTE/5G,tuesday,10,Non-GBR,0.01,100,eMBB
227,Smartphone,2,LTE/5G,tuesday,11,Non-GBR,0.01,100,eMBB
228,Smartphone,2,LTE/5G,tuesday,12,Non-GBR,0.01,100,eMBB
229,Smartphone,2,LTE/5G,tuesday,13,Non-GBR,0.01,100,eMBB
230,Smartphone,2,LTE/5G,tuesday,14,Non-GBR,0.01,100,eMBB
231,Smartphone,2,LTE/5G,tuesday,15,Non-GBR,0.01,100,eMBB
232,Smartphone,2,LTE/5G,tuesday,16,Non-GBR,0.01,100,eMBB
233,Smartphone,2,LTE/5G,tuesday,17,Non-GBR,0.01,100,eMBB
234,Smartphone,2,LTE/5G,tuesday,18,Non-GBR,0.01,100,eMBB
235,Smartphone,2,LTE/5G,tuesday,19,Non-GBR,0.01,100,eMBB
236,Smartphone,2,LTE/5G,tuesday,20,Non-GBR,0.01,100,eMBB
237,Smartphone,2,LTE/5G,tuesday,21,Non-GBR,0.01,100,eMBB
238,Smartphone,2,LTE/5G,tuesday,22,Non-GBR,0.01,100,eMBB
239,Smartphone,2,LTE/5G,tuesday,23,Non-GBR,0.01,100,eMBB
240,Smartphone,2,LTE/5G,wednesday,0,Non-GBR,0.01,100,eMBB
241,Smartphone,2,LTE/5G,wednesday,1,Non-GBR,0.01,100,eMBB
242,Smartphone,2,LTE/5G,wednesday,2,Non-GBR,0.01,100,eMBB
243,Smartphone,2,LTE/5G,wednesday,3,Non-GBR,0.01,100,eMBB
244,Smartphone,2,LTE/5G,wednesday,4,Non-GBR,0.01,100,eMBB
245,Smartphone,2,LTE/5G,wednesday,5,Non-GBR,0.01,100,eMBB
246,Smartphone,2,LTE/5G,wednesday,6,Non-GBR,0.01,100,eMBB
247,Smartphone,2,LTE/5G,wednesday,7,Non-GBR,0.01,100,eMBB
248,Smartphone,2,LTE/5G,wednesday,8,Non-GBR,0.01,100,eMBB
249,Smartphone,2,LTE/5G,wednesday,9,Non-GBR,0.01,100,eMBB
250,Smartphone,2,LTE/5G,wednesday,10,Non-GBR,0.01,100,eMBB
251,Smartphone,2,LTE/5G,wednesday,11,Non-GBR,0.01,100,eMBB
252,Smartphone,2,LTE/5G,wednesday,12,Non-GBR,0.01,100,eMBB
253,Smartphone,2,LTE/5G,wednesday,13,Non-GBR,0.01,100,eMBB
254,Smartphone,2,LTE/5G,wednesday,14,Non-GBR,0.01,100,eMBB
255,Smartphone,2,LTE/5G,wednesday,15,Non-GBR,0.01,100,eMBB
256,Smartphone,2,LTE/5G,wednesday,16,Non-GBR,0.01,100,eMBB
257,Smartphone,2,LTE/5G,wednesday,17,Non-GBR,0.01,100,eMBB
258,Smartphone,2,LTE/5G,wednesday,18,Non-GBR,0.01,100,eMBB
259,Smartphone,2,LTE/5G,wednesday,19,Non-GBR,0.01,100,eMBB
260,Smartphone,2,LTE/5G,wednesday,20,Non-GBR,0.01,100,eMBB
261,Smartphone,2,LTE/5G,wednesday,21,Non-GBR,0.01,100,eMBB
262,Smartphone,2,LTE/5G,wednesday,22,Non-GBR,0.01,100,eMBB
263,Smartphone,2,LTE/5G,wednesday,23,Non-GBR,0.01,100,eMBB
264,Smartphone,2,LTE/5G,thrusday,0,Non-GBR,0.01,100,eMBB
265,Smartphone,2,LTE/5G,thrusday,1,Non-GBR,0.01,100,eMBB
266,Smartphone,2,LTE/5G,thrusday,2,Non-GBR,0.01,100,eMBB
267,Smartphone,2,LTE/5G,thrusday,3,Non-GBR,0.01,100,eMBB
268,Smartphone,2,LTE/5G,thrusday,4,Non-GBR,0.01,100,eMBB
269,Smartphone,2,LTE/5G,thrusday,5,Non-GBR,0.01,100,eMBB
270,Smartphone,2,LTE/5G,thrusday,6,Non-GBR,0.01,100,eMBB
271,Smartphone,2,LTE/5G,thrusday,7,Non-GBR,0.01,100,eMBB
272,Smartphone,2,LTE/5G,thrusday,8,Non-GBR,0.01,100,eMBB
273,Smartphone,2,LTE/5G,thrusday,9,Non-GBR,0.01,100,eMBB
274,Smartphone,2,LTE/5G,thrusday,10,Non-GBR,0.01,100,eMBB
275,Smartphone,2,LTE/5G,thrusday,11,Non-GBR,0.01,100,eMBB
276,Smartphone,2,LTE/5G,thrusday,12,Non-GBR,0.01,100,eMBB
277,Smartphone,2,LTE/5G,thrusday,13,Non-GBR,0.01,100,eMBB
278,Smartphone,2,LTE/5G,thrusday,14,Non-GBR,0.01,100,eMBB
279,Smartphone,2,LTE/5G,thrusday,15,Non-GBR,0.01,100,eMBB
280,Smartphone,2,LTE/5G,thrusday,16,Non-GBR,0.01,100,eMBB
281,Smartphone,2,LTE/5G,thrusday,17,Non-GBR,0.01,100,eMBB
282,Smartphone,2,LTE/5G,thrusday,18,Non-GBR,0.01,100,eMBB
283,Smartphone,2,LTE/5G,thrusday,19,Non-GBR,0.01,100,eMBB
284,Smartphone,2,LTE/5G,thrusday,20,Non-GBR,0.01,100,eMBB
285,Smartphone,2,LTE/5G,thrusday,21,Non-GBR,0.01,100,eMBB
286,Smartphone,2,LTE/5G,thrusday,22,Non-GBR,0.01,100,eMBB
287,Smartphone,2,LTE/5G,thrusday,23,Non-GBR,0.01,100,eMBB
288,Smartphone,2,LTE/5G,friday,0,Non-GBR,0.01,100,eMBB
289,Smartphone,2,LTE/5G,friday,1,Non-GBR,0.01,100,eMBB
290,Smartphone,2,LTE/5G,friday,2,Non-GBR,0.01,100,eMBB
291,Smartphone,2,LTE/5G,friday,3,Non-GBR,0.01,100,eMBB
292,Smartphone,2,LTE/5G,friday,4,Non-GBR,0.01,100,eMBB
293,Smartphone,2,LTE/5G,friday,5,Non-GBR,0.01,100,eMBB
294,Smartphone,2,LTE/5G,friday,6,Non-GBR,0.01,100,eMBB
295,Smartphone,2,LTE/5G,friday,7,Non-GBR,0.01,100,eMBB
296,Smartphone,2,LTE/5G,friday,8,Non-GBR,0.01,100,eMBB
297,Smartphone,2,LTE/5G,friday,9,Non-GBR,0.01,100,eMBB
298,Smartphone,2,LTE/5G,friday,10,Non-GBR,0.01,100,eMBB
299,Smartphone,2,LTE/5G,friday,11,Non-GBR,0.01,100,eMBB
300,Smartphone,2,LTE/5G,friday,12,Non-GBR,0.01,100,eMBB
301,Smartphone,2,LTE/5G,friday,13,Non-GBR,0.01,100,eMBB
302,Smartphone,2,LTE/5G,friday,14,Non-GBR,0.01,100,eMBB
303,Smartphone,2,LTE/5G,friday,15,Non-GBR,0.01,100,eMBB
304,Smartphone,2,LTE/5G,friday,16,Non-GBR,0.01,100,eMBB
305,Smartphone,2,LTE/5G,friday,17,Non-GBR,0.01,100,eMBB
306,Smartphone,2,LTE/5G,friday,18,Non-GBR,0.01,100,eMBB
307,Smartphone,2,LTE/5G,friday,19,Non-GBR,0.01,100,eMBB
308,Smartphone,2,LTE/5G,friday,20,Non-GBR,0.01,100,eMBB
309,Smartphone,2,LTE/5G,friday,21,Non-GBR,0.01,100,eMBB
310,Smartphone,2,LTE/5G,friday,22,Non-GBR,0.01,100,eMBB
311,Smartphone,2,LTE/5G,friday,23,Non-GBR,0.01,100,eMBB
312,Smartphone,2,LTE/5G,saturday,0,Non-GBR,0.01,100,eMBB
313,Smartphone,2,LTE/5G,saturday,1,Non-GBR,0.01,100,eMBB
314,Smartphone,2,LTE/5G,saturday,2,Non-GBR,0.01,100,eMBB
315,Smartphone,2,LTE/5G,saturday,3,Non-GBR,0.01,100,eMBB
316,Smartphone,2,LTE/5G,saturday,4,Non-GBR,0.01,100,eMBB
317,Smartphone,2,LTE/5G,saturday,5,Non-GBR,0.01,100,eMBB
318,Smartphone,2,LTE/5G,saturday,6,Non-GBR,0.01,100,eMBB
319,Smartphone,2,LTE/5G,saturday,7,Non-GBR,0.01,100,eMBB
320,Smartphone,2,LTE/5G,saturday,8,Non-GBR,0.01,100,eMBB
321,Smartphone,2,LTE/5G,saturday,9,Non-GBR,0.01,100,eMBB
322,Smartphone,2,LTE/5G,saturday,10,Non-GBR,0.01,100,eMBB
323,Smartphone,2,LTE/5G,saturday,11,Non-GBR,0.01,100,eMBB
324,Smartphone,2,LTE/5G,saturday,12,Non-GBR,0.01,100,eMBB
325,Smartphone,2,LTE/5G,saturday,13,Non-GBR,0.01,100,eMBB
326,Smartphone,2,LTE/5G,saturday,14,Non-GBR,0.01,100,eMBB
327,Smartphone,2,LTE/5G,saturday,15,Non-GBR,0.01,100,eMBB
328,Smartphone,2,LTE/5G,saturday,16,Non-GBR,0.01,100,eMBB
329,Smartphone,2,LTE/5G,saturday,17,Non-GBR,0.01,100,eMBB
330,Smartphone,2,LTE/5G,saturday,18,Non-GBR,0.01,100,eMBB
331,Smartphone,2,LTE/5G,saturday,19,Non-GBR,0.01,100,eMBB
332,Smartphone,2,LTE/5G,saturday,20,Non-GBR,0.01,100,eMBB
333,Smartphone,2,LTE/5G,saturday,21,Non-GBR,0.01,100,eMBB
334,Smartphone,2,LTE/5G,saturday,22,Non-GBR,0.01,100,eMBB
335,Smartphone,2,LTE/5G,saturday,23,Non-GBR,0.01,100,eMBB
336,Smartphone,3,LTE/5G,sunday,0,Non-GBR,0.01,100,eMBB
337,Smartphone,3,LTE/5G,sunday,1,Non-GBR,0.01,100,eMBB
